f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9
-0.07864081,-0.1512882,0.13497369,0.028363934,0.00677269,0.18454213,0.1253282,0.099503584,0.14357486,0.13746436
-0.13691741,0.0024627494,0.14287014,0.13304918,-0.16828582,0.1450411,-0.012572225,0.094984755,0.13373753,0.027764922
-0.1334917,-0.091533355,0.14116079,0.08989305,-0.066859014,0.18167318,0.08344478,0.11393796,0.15527876,0.10794401
-0.07772833,-0.15472513,0.14108267,0.026960667,0.011697048,0.18105441,0.12028498,0.09588676,0.14439283,0.13507593
-0.08352273,-0.13228856,0.13692386,0.037669986,-0.0065782517,0.17659682,0.12796395,0.102164075,0.15307675,0.13418858
-0.08803439,-0.086925015,0.11600302,0.05755301,-0.05696361,0.18719043,0.09356837,0.123571604,0.1849861,0.09358279
-0.12678318,-0.007341868,0.15184167,0.12812012,-0.16747558,0.1497703,0.010529154,0.098243445,0.13054372,0.04079481
-0.120783366,-0.08365473,0.17209685,0.0757657,-0.07440967,0.19750844,0.060275882,0.110029474,0.15950617,0.09433372
-0.120783366,-0.08365473,0.17209685,0.0757657,-0.07440967,0.19750844,0.060275882,0.110029474,0.15950617,0.09433372
-0.12615547,-0.002949195,0.14508668,0.13321011,-0.1822043,0.14738819,-0.0037474448,0.09201544,0.12914932,0.02857621
-0.14089622,0.02230696,0.1445574,0.13401605,-0.18095663,0.1276139,-0.016666068,0.10635542,0.13614544,0.00571296
-0.13227935,-0.069033794,0.1776729,0.08930558,-0.09555143,0.19612701,0.04133473,0.10663499,0.15381515,0.08399993
-0.13270776,-0.020998374,0.1483634,0.11487283,-0.16712722,0.15933578,0.019674031,0.10793278,0.13728282,0.055260852
-0.07577406,-0.14872937,0.13891588,0.030188432,0.006868884,0.18251278,0.11297124,0.107284114,0.15510738,0.12728971
-0.1101115,-0.081032164,0.1380027,0.0754432,-0.08592655,0.18943551,0.07311899,0.11726762,0.1729182,0.08709166
-0.120783366,-0.08365473,0.17209685,0.0757657,-0.07440967,0.19750844,0.060275882,0.110029474,0.15950617,0.09433372
-0.14682002,-0.016704747,0.15030353,0.12347521,-0.1524897,0.16735117,-0.0051033995,0.093882084,0.14021228,0.039685696
-0.085110195,-0.15024453,0.14827323,0.036874216,0.002673268,0.18067876,0.114105485,0.09122321,0.13820592,0.13384616
-0.085079834,-0.13615854,0.16015275,0.04500308,-0.0042564888,0.1806041,0.10274259,0.09746744,0.1512287,0.1219654
-0.123225845,-0.01588704,0.15565324,0.110747784,-0.13387598,0.18405095,0.015728982,0.107420266,0.15037337,0.038909726
-0.08242463,-0.14457387,0.14338328,0.03239035,0.0022236772,0.18508443,0.11244322,0.102182426,0.15170039,0.12871641
-0.120783366,-0.08365473,0.17209685,0.0757657,-0.07440967,0.19750844,0.060275882,0.110029474,0.15950617,0.09433372
-0.0636916,-0.14452116,0.13959984,0.026070548,0.011347189,0.17976345,0.124605075,0.096198656,0.1568409,0.12539229
